<4>[  371.763916] C0 [  adafs_flusher] [adafs] No transaction flushed: l_begin=0, l_head=0, l_end=0
<6>[  374.385620] C0 [             cp] [adafs-stat] on write new: staleness=4096, merged=0, len=1
<6>[  374.385681] C0 [             cp] [adafs-stat] on write new: staleness=8192, merged=0, len=2
<6>[  374.385711] C0 [             cp] [adafs-stat] on write new: staleness=12288, merged=0, len=3
<6>[  374.385772] C0 [             cp] [adafs-stat] on write new: staleness=16384, merged=0, len=4
<6>[  374.385833] C0 [             cp] [adafs-stat] on write new: staleness=20480, merged=0, len=5
<6>[  374.385864] C0 [             cp] [adafs-stat] on write new: staleness=24576, merged=0, len=6
<6>[  374.385925] C0 [             cp] [adafs-stat] on write new: staleness=28672, merged=0, len=7
<6>[  374.385986] C0 [             cp] [adafs-stat] on write new: staleness=32768, merged=0, len=8
<6>[  374.386047] C0 [             cp] [adafs-stat] on write new: staleness=36864, merged=0, len=9
<6>[  374.386108] C0 [             cp] [adafs-stat] on write new: staleness=40960, merged=0, len=10
<6>[  374.386169] C0 [             cp] [adafs-stat] on write new: staleness=45056, merged=0, len=11
<6>[  374.386199] C0 [             cp] [adafs-stat] on write new: staleness=49152, merged=0, len=12
<6>[  374.386260] C0 [             cp] [adafs-stat] on write new: staleness=53248, merged=0, len=13
<6>[  374.386322] C0 [             cp] [adafs-stat] on write new: staleness=57344, merged=0, len=14
<6>[  374.386383] C0 [             cp] [adafs-stat] on write new: staleness=61440, merged=0, len=15
<6>[  374.386444] C0 [             cp] [adafs-stat] on write new: staleness=65536, merged=0, len=16
<6>[  374.386474] C0 [             cp] [adafs-stat] on write new: staleness=69632, merged=0, len=17
<6>[  374.386566] C0 [             cp] [adafs-stat] on write new: staleness=73728, merged=0, len=18
<6>[  374.386596] C0 [             cp] [adafs-stat] on write new: staleness=77824, merged=0, len=19
<6>[  374.386993] C0 [             cp] [adafs-stat] on write new: staleness=81920, merged=0, len=20
<6>[  374.387054] C0 [             cp] [adafs-stat] on write new: staleness=86016, merged=0, len=21
<6>[  374.387145] C0 [             cp] [adafs-stat] on write new: staleness=90112, merged=0, len=22
<6>[  374.387176] C0 [             cp] [adafs-stat] on write new: staleness=94208, merged=0, len=23
<6>[  374.387237] C0 [             cp] [adafs-stat] on write new: staleness=98304, merged=0, len=24
<6>[  374.387298] C0 [             cp] [adafs-stat] on write new: staleness=102400, merged=0, len=25
<6>[  374.387359] C0 [             cp] [adafs-stat] on write new: staleness=106496, merged=0, len=26
